Date,Adj Close,Rtn,Scaled rtns,,Mean,-4.84162E-05,,,Count,4976
2004/1/16,1.799014,-0.01433828,-2.368405744,,-7.42021296,-7.512614094,0,0,2.2144E-13,
2004/1/19,1.783294,-0.00873812,-1.440233705,,-7.235410692,-7.327811826,0,0,8.72554E-13,
2004/1/20,1.81881,0.019915953,3.308899711,,-7.050608423,-7.143009557,0,0,3.32274E-12,
2004/1/21,1.832811,0.00769789,1.28387484,,-6.865806155,-6.958207289,0,0,1.22284E-11,
2004/1/22,1.843692,0.005936782,0.991988345,,-6.681003887,-6.773405021,2,0.002174915,4.34919E-11,
2004/1/23,1.827786,-0.008627254,-1.421858839,,-6.496201618,-6.588602752,0,0,1.49491E-10,
2004/1/26,1.815014,-0.006987689,-1.150116831,,-6.31139935,-6.403800484,0,0,4.96584E-10,
2004/1/27,1.826684,0.006429702,1.073685051,,-6.126597082,-6.218998216,1,0.001087458,1.59418E-09,
2004/1/28,1.815113,-0.006334429,-1.041845354,,-5.941794813,-6.034195947,0,0,4.94594E-09,
2004/1/29,1.817092,0.00109029,0.188729504,,-5.756992545,-5.849393679,0,0,1.48296E-08,
2004/1/30,1.825284,0.004508302,0.755231692,,-5.572190276,-5.664591411,1,0.001087458,4.29712E-08,
2004/2/2,1.821593,-0.002022151,-0.327127317,,-5.387388008,-5.479789142,0,0,1.20335E-07,
2004/2/3,1.837898,0.008950957,1.491558366,,-5.20258574,-5.294986874,0,0,3.2567E-07,
2004/2/4,1.832206,-0.003097016,-0.505275748,,-5.017783471,-5.110184606,1,0.001087458,8.51785E-07,
2004/2/5,1.83621,0.002185344,0.370223958,,-4.832981203,-4.925382337,0,0,2.15303E-06,
2004/2/6,1.847507,0.006152346,1.027715987,,-4.648178935,-4.740580069,2,0.002174915,5.25943E-06,
2004/2/9,1.859704,0.006601869,1.102220049,,-4.463376666,-4.5557778,1,0.001087458,1.24164E-05,
2004/2/10,1.867309,0.00408936,0.685796168,,-4.278574398,-4.370975532,1,0.001087458,2.83282E-05,
2004/2/11,1.892506,0.01349375,2.244482023,,-4.09377213,-4.186173264,1,0.001087458,6.24614E-05,
2004/2/12,1.893007,0.000264728,0.051900665,,-3.908969861,-4.001370995,3,0.003262373,0.000133098,
2004/2/13,1.885298,-0.004072357,-0.666928944,,-3.724167593,-3.816568727,1,0.001087458,0.000274095,
2004/2/16,1.888788,0.001851166,0.314837285,,-3.539365324,-3.631766459,0,0,0.000545503,
2004/2/17,1.905597,0.008899358,1.483006338,,-3.354563056,-3.44696419,4,0.00434983,0.001049208,
2004/2/18,1.892613,-0.006813613,-1.121265399,,-3.169760788,-3.262161922,8,0.008699661,0.001950268,
2004/2/19,1.899191,0.003475618,0.584074352,,-2.984958519,-3.077359654,9,0.009787118,0.003503441,
2004/2/20,1.861989,-0.019588341,-3.238552047,,-2.800156251,-2.892557385,6,0.006524746,0.006082237,
2004/2/23,1.86839,0.003437722,0.577793394,,-2.615353983,-2.707755117,12,0.013049491,0.010204694,
2004/2/24,1.890002,0.011567178,1.925171586,,-2.430551714,-2.522952848,16,0.017399322,0.016546444,
2004/2/25,1.872309,-0.009361366,-1.543530635,,-2.245749446,-2.33815058,17,0.018486779,0.025928498,
2004/2/26,1.863308,-0.004807433,-0.788760649,,-2.060947178,-2.153348312,16,0.017399322,0.039266128,
2004/2/27,1.869508,0.003327416,0.559511223,,-1.876144909,-1.968546043,39,0.042410846,0.057468098,
2004/3/1,1.867902,-0.00085905,-0.134354572,,-1.691342641,-1.783743775,60,0.065247456,0.081283726,
2004/3/2,1.838202,-0.015900192,-2.627277331,,-1.506540373,-1.598941507,75,0.08155932,0.111108786,
2004/3/3,1.827586,-0.005775209,-0.949160031,,-1.321738104,-1.414139238,74,0.080471862,0.14677809,
2004/3/4,1.822988,-0.002515887,-0.408959248,,-1.136935836,-1.22933697,128,0.139194572,0.187388135,
2004/3/5,1.845393,0.012290262,2.045015674,,-0.952133567,-1.044534702,165,0.179430503,0.231201673,
2004/3/8,1.85271,0.003965009,0.665186138,,-0.767331299,-0.859732433,237,0.25772745,0.275681666,
2004/3/9,1.826084,-0.01437138,-2.373891728,,-0.582529031,-0.674930165,285,0.309925414,0.317682159,
2004/3/10,1.803394,-0.012425496,-2.051380417,,-0.397726762,-0.490127897,351,0.381697616,0.353790195,
2004/3/11,1.810184,0.003765123,0.632056948,,-0.212924494,-0.305325628,420,0.45673219,0.380773563,
2004/3/12,1.80411,-0.00335546,-0.548110279,,-0.028122226,-0.12052336,456,0.495880663,0.396055283,
2004/3/15,1.804891,0.0004329,0.079773548,,0.156680043,0.064278909,483,0.525242018,0.398118961,
2004/3/16,1.813204,0.004605818,0.771394023,,0.341482311,0.249081177,416,0.452382359,0.386756784,
2004/3/17,1.816795,0.001980472,0.336268478,,0.526284579,0.433883445,402,0.437157953,0.363104011,
2004/3/18,1.835401,0.010241111,1.705388944,,0.711086848,0.618685714,296,0.321887448,0.329452024,
2004/3/19,1.834189,-0.000660346,-0.101421422,,0.895889116,0.803487982,256,0.278389144,0.288882571,
2004/3/22,1.847507,0.007260975,1.21146033,,1.080691385,0.98829025,198,0.215316604,0.244804011,
2004/3/23,1.852092,0.002481723,0.419345869,,1.265493653,1.173092519,130,0.141369487,0.200485859,
2004/3/24,1.825284,-0.014474443,-2.390973358,,1.450295921,1.357894787,98,0.106570844,0.1586781,
2004/3/25,1.807991,-0.009474142,-1.562222216,,1.63509819,1.542697055,86,0.093521353,0.121371931,
2004/3/26,1.817686,0.005362305,0.896774397,,1.819900458,1.727499324,64,0.069597286,0.089719648,
2004/3/29,1.819604,0.001055188,0.182911607,,2.004702726,1.912301592,40,0.043498304,0.064095109,
2004/3/30,1.827586,0.004386669,0.73507212,,2.189504995,2.097103861,30,0.032623728,0.044251729,
2004/3/31,1.843386,0.008645284,1.4408961,,2.374307263,2.281906129,20,0.021749152,0.029525933,
2004/4/1,1.856493,0.007110285,1.18648499,,2.559109531,2.466708397,16,0.017399322,0.01903904,
2004/4/2,1.828087,-0.015300893,-2.527949333,,2.7439118,2.651510666,12,0.013049491,0.011864638,
2004/4/5,1.823786,-0.002352733,-0.381917994,,2.928714068,2.836312934,10,0.010874576,0.007145489,
2004/4/6,1.843488,0.010802803,1.798483772,,3.113516336,3.021115202,6,0.006524746,0.00415889,
2004/4/7,1.840197,-0.001785203,-0.287855455,,3.298318605,3.205917471,2,0.002174915,0.002339327,
2004/4/8,1.831099,-0.004944036,-0.811401252,,3.483120873,3.390719739,8,0.008699661,0.001271664,
2004/4/9,1.833786,0.001467425,0.251235874,,3.667923142,3.575522007,1,0.001087458,0.00066807,
2004/4/12,1.837898,0.002242355,0.379673082,,3.85272541,3.760324276,2,0.002174915,0.000339187,
2004/4/13,1.818116,-0.010763383,-1.775901324,,4.037527678,3.945126544,2,0.002174915,0.000166428,
2004/4/14,1.789805,-0.015571614,-2.572818717,,4.222329947,4.129928812,0,0,7.89185E-05,
2004/4/15,1.791408,0.000895628,0.156466182,,4.407132215,4.314731081,0,0,3.6166E-05,
2004/4/16,1.7963,0.002730813,0.460630141,,4.591934483,4.499533349,0,0,1.60173E-05,
